1;Общестроительные работы;
2;Подготовка строительной площадки;1
3;Монтаж ограждения строительной площадки;2
4;Вертикальная планировка строительной площадки;2
5;Устройство внутриплощадочных дорог;2
6;Устройство КПП;2
7;Временные здания и сооружения;1
8;Устройство временного водоснабжения и канализации;7
9;Мобилизация строительного городка ;7
10;Устройство временного электроснабжения;7
11;Устройство шпунтового ограждения;1
12;Устройство подпорных стен;1
13;Устройство котлована;1
14;Свайное поле;1
15;Устройство фундамента;1
16;Доработка грунта в ручную;15
17;Устройство подбетонки;15
18;Бетонирование ростверков/плиты;15
19;Гидроизоляция фундаментов;15
20;Утепление основания фундаментов ;15
21;Обратная засыпка пазух ;1
22;Монтаж/демонтаж башенных кранов (в том числе фундаменты и подключение);1
23;Устройство железобетонного (монолитный/сборный) каркаса;1
24;Устройство монолитного/сборного каркаса ниже отметки 0.000;23
25;Устройство монолитного/сборного каркаса выше отметки 0.000;23
26;Гидроизоляция стен ниже отметки 0.000;23
27;Утепление стен ниже отметки 0.000;23
28;Устройство наружных крылец;23
29;Монтаж металлических конструкций каркаса;1
30;Изготовление и монтаж металлических конструкций;29
31;Огнезащита металлических конструкций ;29
32;Монтаж и изготовление противопожарных лестниц;29
33;Устройство кровли;1
34;Устройство полов;1
35;Устройство стен и перегородок;1
36;Устройство фасадов;1
37;Отделочные работы ;1
38;Заполнение оконных проемов;1
39;Устройство витражей;1
40;Монтаж внутренних и наружных дверей;1
41;Монтаж металлических дверей;40
42;Монтаж алюминиевых дверей;40
43;Монтаж деревянных дверей;40
44;Монтаж маятниковых дверей;40
45;Монтаж противопожарных дверей;1
46;Монтаж ворот ;1
47;Монтаж металлических ограждений;1
48;Монтаж ограждений из нержавеющей стали;1
49;Внутренние инженерные сети;
50;Монтаж внутренних систем водоснабжения и канализации  ;49
51;Монтаж внутренних систем водоснабжения;50
52;Монтаж внутренних систем канализации;50
53;Монтаж внутренней системы вентиляции;49
54;Монтаж внутренней системы отопления;49
55;Монтаж внутренней системы кондиционирования;49
56;Монтаж внутренней системы газоснабжения;49
57;Монтаж внутренних сетей электроснабжения и освещения;49
58;Монтаж индивидуального теплового пункта (ИТП);49
59;Монтаж электрощитовой;49
60;Монтаж насосной станции водоснабжения;49
61;Монтаж системы противопожарной безопасности;49
62;Комплексная автоматизация;49
63;Монтаж лифтов/пусконаладочные работы;49
64;Монтаж слаботочных сетей;49
65;Наружные инженерные сети;
66;Устройство кабельной линии 0,4 кВ;65
67;Устройство кабельной линии 10 кВ;65
68;Монтаж комплектной трансформаторной подстанции наружной установки (КТПН);65
69;Монтаж дизельной электростанции (ДЭС);65
70;Устройство наружного освещения;65
71;Устройство теплотрассы;65
72;Устройство наружных сетей водопровода;65
73;Устройство наружных сетей канализации;65
74;Монтаж канализационной насосной станции (КНС);65
75;Устройство наружного газопровода;65
76;Монтаж газовой котельной;65
77;Благоустройство;
78;Озеленение;
79;Устройство малых архитектурных форм;
